UID          PID    PPID  C STIME TTY          TIME CMD
message+     731       1  0 10:12 ?        00:00:01 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         732       1  0 10:12 ?        00:00:02 /usr/sbin/NetworkManager --no-daemon
root         738       1  0 10:12 ?        00:00:00 /usr/sbin/irqbalance --foreground
root         741       1  0 10:12 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
syslog       747       1  0 10:12 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         758       1  0 10:12 ?        00:00:02 /usr/lib/snapd/snapd
root         761       1  0 10:12 ?        00:00:00 /usr/libexec/switcheroo-control
root         766       1  0 10:12 ?        00:00:00 /lib/systemd/systemd-logind
root         767       1  0 10:12 ?        00:00:00 /usr/sbin/thermald --systemd --dbus-enable --adaptive
root         768       1  0 10:12 ?        00:00:00 /usr/lib/udisks2/udisksd
root         769       1  0 10:12 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        783     726  0 10:12 ?        00:00:00 avahi-daemon: chroot helper
root         819       1  0 10:12 ?        00:00:00 /usr/sbin/cupsd -l
mongodb      828       1  0 10:12 ?        00:00:15 /usr/bin/mongod --unixSocketPrefix=/run/mongodb --config /etc/mongodb.conf
root         851       1  0 10:12 ?        00:00:00 /usr/sbin/cups-browsed
root         867       1  0 10:12 ?        00:00:00 /usr/sbin/gdm3
root         884       1  0 10:12 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
postgres     906       1  0 10:12 ?        00:00:00 /usr/lib/postgresql/12/bin/postgres -D /var/lib/postgresql/12/main -c config_file=/etc/postgresql/12/main/postgresql.conf
mysql        919       1  0 10:12 ?        00:00:10 /usr/sbin/mysqld
postgres     923     906  0 10:12 ?        00:00:00 postgres: 12/main: checkpointer   
postgres     924     906  0 10:12 ?        00:00:00 postgres: 12/main: background writer   
postgres     925     906  0 10:12 ?        00:00:00 postgres: 12/main: walwriter   
postgres     926     906  0 10:12 ?        00:00:00 postgres: 12/main: autovacuum launcher   
postgres     927     906  0 10:12 ?        00:00:00 postgres: 12/main: stats collector   
postgres     928     906  0 10:12 ?        00:00:00 postgres: 12/main: logical replication launcher   
rtkit        940       1  0 10:12 ?        00:00:00 /usr/libexec/rtkit-daemon
root        1090       1  0 10:12 ?        00:00:00 /usr/lib/upower/upowerd
whoopsie    1183       1  0 10:12 ?        00:00:00 /usr/bin/whoopsie -f
kernoops    1184       1  0 10:12 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops    1186       1  0 10:12 ?        00:00:00 /usr/sbin/kerneloops
colord      1394       1  0 10:12 ?        00:00:00 /usr/libexec/colord
root        1464     867  0 10:12 ?        00:00:00 gdm-session-worker [pam/gdm-password]
fusion      1473       1  0 10:12 ?        00:00:00 /lib/systemd/systemd --user
fusion      1474    1473  0 10:12 ?        00:00:00 (sd-pam)
fusion      1479    1473  0 10:12 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
fusion      1481    1473  0 10:12 ?        00:00:00 /usr/libexec/tracker-miner-fs
fusion      1483    1473  0 10:12 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
fusion      1501       1  0 10:12 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
fusion      1504    1473  0 10:12 ?        00:00:00 /usr/libexec/gvfsd
fusion      1509    1473  0 10:12 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
fusion      1511    1473  0 10:12 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
fusion      1522    1473  0 10:12 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
fusion      1527    1473  0 10:12 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
fusion      1531    1473  0 10:12 ?        00:00:00 /usr/libexec/goa-daemon
fusion      1539    1473  0 10:12 ?        00:00:00 /usr/libexec/goa-identity-service
fusion      1544    1473  0 10:12 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
fusion      1550    1473  0 10:12 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
fusion      1565    1464  0 10:12 tty2     00:00:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
fusion      1567    1565  2 10:12 tty2     00:01:27 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
fusion      1589    1565  0 10:12 tty2     00:00:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
fusion      1656    1589  0 10:12 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
fusion      1677    1473  0 10:12 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
fusion      1682    1677  0 10:12 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
fusion      1693    1473  0 10:12 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
fusion      1699    1473  0 10:12 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
fusion      1713    1473  4 10:12 ?        00:02:13 /usr/bin/gnome-shell
fusion      1737    1713  0 10:12 ?        00:00:00 ibus-daemon --panel disable --xim
fusion      1741    1737  0 10:12 ?        00:00:00 /usr/libexec/ibus-memconf
fusion      1742    1737  0 10:12 ?        00:00:01 /usr/libexec/ibus-extension-gtk3
fusion      1745    1473  0 10:12 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
fusion      1748    1473  0 10:12 ?        00:00:00 /usr/libexec/ibus-portal
fusion      1759    1473  0 10:12 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
fusion      1763    1473  0 10:12 ?        00:00:00 /usr/libexec/xdg-permission-store
fusion      1768    1473  0 10:12 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
fusion      1774    1473  0 10:12 ?        00:00:00 /usr/libexec/evolution-source-registry
fusion      1784    1473  0 10:12 ?        00:00:00 /usr/libexec/evolution-calendar-factory
fusion      1793    1473  0 10:12 ?        00:00:00 /usr/libexec/dconf-service
fusion      1797    1473  0 10:12 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
fusion      1814    1473  0 10:12 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
fusion      1822    1504  0 10:12 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
fusion      1833    1473  0 10:12 ?        00:00:00 /usr/libexec/gsd-a11y-settings
fusion      1834    1473  0 10:12 ?        00:00:00 /usr/libexec/gsd-color
